year,speciesCode,stratum,percent_diff
1993,21720,32,-0.8269608769936154
1993,21740,32,-0.8269608769936264
1993,10210,41,0.6274724284006669
1993,10261,41,NA
1993,21720,41,0.627472428400667
1993,21740,41,0.6274724284006581
1993,10210,42,-0.46241970977959196
1993,10261,42,NA
1993,21720,42,-0.46241970977959146
1993,21740,42,-0.46241970977959856
1993,10210,43,0.20857517110332743
1993,10261,43,NA
1993,21720,43,0.2085751711033345
1993,21740,43,0.2085751711033321
1993,10210,50,1.9425009976282366
1993,10261,50,NA
1993,21720,50,1.942500997628241
1993,21740,50,1.9425009976282361
1993,10210,61,0.40482979915708917
1993,10261,61,NA
1993,21720,61,0.4048297991570888
1993,21740,61,0.4048297991570824
1993,10210,62,NA
1993,10261,62,NA
1993,21720,62,-0.5116446044438997
1993,21740,62,-0.5116446044438957
1993,10210,82,0.002006518850325025
1993,10261,82,NA
1993,21720,82,0.0020065188503260983
1993,21740,82,0.0020065188503407883
1993,10210,90,NA
1993,10261,90,NA
1993,21720,90,0.24999423704553322
1993,21740,90,0.24999423704552845
1994,10210,10,-1.0716141447560752
1994,10261,10,NA
1994,21720,10,-1.0716141447560947
1994,21740,10,-1.0716141447561014
1994,10210,20,-0.4049825624599622
1994,10261,20,NA
1994,21720,20,-0.40498256245996395
1994,21740,20,-0.4049825624599587
1994,10210,31,-0.4786295852364669
1994,10261,31,NA
1994,21720,31,-0.47862958523644855
1994,21740,31,-0.47862958523645033
1994,10210,32,-0.8269608769936255
1994,10261,32,NA
1994,21720,32,-0.826960876993624
1994,21740,32,-0.8269608769936236
1994,10210,41,0.6274724284006548
1994,10261,41,NA
1994,21720,41,0.6274724284006645
1994,21740,41,0.627472428400677
1994,10210,42,-0.4624197097795946
1994,10261,42,NA
1994,21720,42,-0.4624197097796062
1994,21740,42,-0.46241970977959107
1994,10210,43,0.20857517110333393
1994,10261,43,NA
1994,21720,43,0.2085751711033287
1994,21740,43,0.20857517110333548
1994,10210,50,1.9425009976282392
1994,10261,50,NA
1994,21720,50,1.942500997628225
1994,21740,50,1.9425009976282244
1994,10210,61,0.40482979915709344
1994,10261,61,NA
1994,21720,61,0.4048297991570811
1994,21740,61,0.4048297991570897
1994,10210,62,-0.5116446044438823
1994,10261,62,NA
1994,21720,62,-0.5116446044439011
1994,21740,62,-0.5116446044438905
1994,10210,82,0.00200651885033339
1994,10261,82,NA
1994,21720,82,0.0020065188503319
1994,21740,82,0.002006518850336357
1994,10210,90,0.24999423704553933
1994,10261,90,NA
1994,21720,90,0.24999423704553142
1994,21740,90,0.2499942370455356
1995,10210,10,-1.0716141447560994
1995,10261,10,NA
1995,21720,10,-1.0716141447560918
1995,21740,10,-1.0716141447560834
1995,10210,20,-0.4049825624599633
1995,10261,20,NA
1995,21720,20,-0.40498256245997083
1995,21740,20,-0.40498256245996717
1995,10210,31,-0.47862958523646537
1995,10261,31,NA
1995,21720,31,-0.4786295852364558
1995,21740,31,-0.4786295852364529
1995,10210,32,-0.8269608769936365
1995,10261,32,NA
1995,21720,32,-0.8269608769936209
1995,21740,32,-0.8269608769936265
1995,10210,41,0.6274724284006782
1995,10261,41,NA
1995,21720,41,0.6274724284006618
1995,21740,41,0.6274724284006727
1995,10210,42,-0.4624197097796039
1995,10261,42,NA
1995,21720,42,-0.46241970977959657
1995,21740,42,-0.4624197097795847
1995,10210,43,0.20857517110332405
1995,10261,43,NA
1995,21720,43,0.20857517110332982
1995,21740,43,0.20857517110333096
1995,10210,50,1.9425009976282335
1995,10261,50,NA
1995,21720,50,1.9425009976282277
1995,21740,50,1.9425009976282275
1995,10210,61,0.40482979915709166
1995,10261,61,NA
1995,21720,61,0.40482979915708434
1995,21740,61,0.40482979915709233
1995,10210,62,NA
1995,10261,62,NA
1995,21720,62,-0.5116446044438979
1995,21740,62,-0.5116446044438948
1995,10210,82,0.002006518850331879
1995,10261,82,NA
1995,21720,82,0.002006518850327778
1995,21740,82,0.0020065188503340485
1995,10210,90,NA
1995,10261,90,NA
1995,21720,90,0.2499942370455319
1995,21740,90,0.2499942370455339
1996,10210,10,-1.0716141447560896
1996,10261,10,-1.0716141447560865
1996,21720,10,-1.0716141447560763
1996,21740,10,-1.0716141447560943
1996,10210,20,-0.404982562459962
1996,10261,20,-0.4049825624599624
1996,21720,20,-0.40498256245997005
1996,21740,20,-0.4049825624599594
1996,10210,31,-0.4786295852364689
1996,10261,31,-0.47862958523646887
1996,21720,31,-0.4786295852364607
1996,21740,31,-0.47862958523646604
1996,10210,32,-0.8269608769936339
1996,10261,32,-0.8269608769936118
1996,21720,32,-0.8269608769936264
1996,21740,32,-0.8269608769936319
1996,10210,41,0.6274724284006635
1996,10261,41,0.6274724284006608
1996,21720,41,0.6274724284006771
1996,21740,41,0.6274724284006818
1996,10210,42,-0.462419709779598
1996,10261,42,-0.46241970977960695
1996,21720,42,-0.4624197097795879
1996,21740,42,-0.46241970977958236
1996,10210,43,0.2085751711033508
1996,10261,43,0.20857517110331508
1996,21720,43,0.20857517110332013
1996,21740,43,0.20857517110334525
1996,10210,50,1.9425009976282344
1996,10261,50,1.9425009976282388
1996,21720,50,1.9425009976282397
1996,21740,50,1.942500997628232
1996,10210,61,0.4048297991570946
1996,10261,61,0.4048297991570712
1996,21720,61,0.40482979915707856
1996,21740,61,0.4048297991570929
1996,10210,62,NA
1996,10261,62,-0.5116446044438874
1996,21720,62,-0.5116446044438998
1996,21740,62,-0.5116446044438895
1996,10210,82,0.002006518850317187
1996,10261,82,0.0020065188503261386
1996,21720,82,0.002006518850342589
1996,21740,82,0.002006518850314221
1996,10210,90,NA
1996,10261,90,0.24999423704552026
1996,21720,90,0.2499942370455128
1996,21740,90,0.2499942370455333
1997,10210,10,-1.0716141447560878
1997,10261,10,-1.0716141447560852
1997,21720,10,-1.07161414475609
1997,21740,10,-1.0716141447560938
1997,10210,20,-0.4049825624599757
1997,10261,20,-0.40498256245997327
1997,21720,20,-0.40498256245996633
1997,21740,20,-0.40498256245996456
1997,10210,31,-0.47862958523645976
1997,10261,31,-0.4786295852364612
1997,21720,31,-0.47862958523646304
1997,21740,31,-0.47862958523645405
1997,10210,32,-0.8269608769936216
1997,10261,32,-0.8269608769936287
1997,21720,32,-0.8269608769936279
1997,21740,32,-0.8269608769936218
1997,10210,41,0.6274724284006639
1997,10261,41,0.627472428400663
1997,21720,41,0.6274724284006674
1997,21740,41,0.6274724284006655
1997,10210,42,-0.4624197097795941
1997,10261,42,-0.4624197097795995
1997,21720,42,-0.46241970977959684
1997,21740,42,-0.4624197097795991
1997,10210,43,0.2085751711033275
1997,10261,43,0.20857517110333904
1997,21720,43,0.20857517110333784
1997,21740,43,0.20857517110333454
1997,10210,50,1.9425009976282248
1997,10261,50,1.942500997628225
1997,21720,50,1.9425009976282328
1997,21740,50,1.9425009976282346
1997,10210,61,0.4048297991570889
1997,10261,61,0.40482979915708284
1997,21720,61,0.40482979915707923
1997,21740,61,0.4048297991570904
1997,10210,62,-0.5116446044438994
1997,10261,62,-0.5116446044438894
1997,21720,62,-0.511644604443899
1997,21740,62,-0.5116446044438953
1997,10210,82,0.0020065188503265944
1997,10261,82,0.002006518850331803
1997,21720,82,0.002006518850336226
1997,21740,82,0.0020065188503351587
1997,10210,90,0.24999423704551507
1997,10261,90,0.24999423704552762
1997,21720,90,0.2499942370455207
1997,21740,90,0.24999423704553095
1998,10210,10,-1.07161414475608
1998,10261,10,-1.0716141447560892
1998,21720,10,-1.0716141447560956
1998,21740,10,-1.0716141447560983
1998,10210,20,-0.4049825624599788
1998,10261,20,-0.404982562459967
1998,21720,20,-0.4049825624599636
1998,21740,20,-0.40498256245996855
1998,10210,31,-0.4786295852364515
1998,10261,31,-0.47862958523645727
1998,21720,31,-0.4786295852364604
1998,21740,31,-0.4786295852364617
1998,10210,32,-0.8269608769936337
1998,10261,32,-0.8269608769936215
1998,21720,32,-0.826960876993627
1998,21740,32,-0.8269608769936272
1998,10210,41,0.6274724284006633
1998,10261,41,0.6274724284006749
1998,21720,41,0.6274724284006659
1998,21740,41,0.6274724284006672
1998,10210,42,-0.4624197097795899
1998,10261,42,-0.4624197097795847
1998,21720,42,-0.4624197097795927
1998,21740,42,-0.46241970977959723
1998,10210,43,0.20857517110333482
1998,10261,43,0.20857517110334972
1998,21720,43,0.2085751711033392
1998,21740,43,0.20857517110333787
1998,10210,50,1.9425009976282335
1998,10261,50,1.9425009976282315
1998,21720,50,1.9425009976282388
1998,21740,50,1.9425009976282275
1998,10210,61,0.4048297991570853
1998,10261,61,0.4048297991571001
1998,21720,61,0.40482979915707673
1998,21740,61,0.4048297991570888
1998,10210,62,-0.5116446044438964
1998,10261,62,-0.5116446044438993
1998,21720,62,-0.5116446044438957
1998,21740,62,-0.5116446044438959
1998,10210,82,0.0020065188503320007
1998,10261,82,0.002006518850338268
1998,21720,82,0.002006518850347338
1998,21740,82,0.0020065188503347394
1998,10210,90,0.24999423704553486
1998,10261,90,0.249994237045517
1998,21720,90,0.24999423704553092
1998,21740,90,0.24999423704553816
1999,10210,10,-1.0716141447560938
1999,10261,10,-1.0716141447560905
1999,21720,10,-1.0716141447560945
1999,21740,10,-1.071614144756092
1999,10210,20,-0.40498256245995046
1999,10261,20,-0.404982562459957
1999,21720,20,-0.4049825624599626
1999,21740,20,-0.4049825624599612
1999,10210,31,-0.4786295852364553
1999,10261,31,-0.47862958523646226
1999,21720,31,-0.47862958523647325
1999,21740,31,-0.4786295852364634
1999,10210,32,-0.826960876993626
1999,10261,32,-0.8269608769936208
1999,21720,32,-0.8269608769936241
1999,21740,32,-0.8269608769936143
1999,10210,41,0.6274724284006766
1999,10261,41,0.6274724284006602
1999,21720,41,0.6274724284006742
1999,21740,41,0.62747242840067
1999,10210,42,-0.46241970977959945
1999,10261,42,-0.4624197097795971
1999,21720,42,-0.4624197097795979
1999,21740,42,-0.4624197097796011
1999,10210,43,0.2085751711033384
1999,10261,43,0.2085751711033376
1999,21720,43,0.20857517110333423
1999,21740,43,0.20857517110333096
1999,10210,50,1.9425009976282197
1999,10261,50,1.9425009976282317
1999,21720,50,1.942500997628219
1999,21740,50,1.9425009976282257
1999,10210,61,0.4048297991570813
1999,10261,61,0.40482979915708056
1999,21720,61,0.4048297991570946
1999,21740,61,0.40482979915708955
1999,10210,62,-0.5116446044438823
1999,10261,62,-0.5116446044438946
1999,21720,62,-0.5116446044438967
1999,21740,62,-0.5116446044438911
1999,10210,82,0.002006518850342087
1999,10261,82,0.002006518850331441
1999,21720,82,0.0020065188503449096
1999,21740,82,0.0020065188503267163
1999,10210,90,0.24999423704552026
1999,10261,90,0.24999423704553078
1999,21720,90,0.24999423704552975
1999,21740,90,0.24999423704553272
2000,10210,10,-1.071614144756102
2000,10261,10,-1.0716141447560943
2000,21720,10,-1.0716141447560885
2000,21740,10,-1.0716141447560859
2000,10210,20,-0.40498256245996156
2000,10261,20,-0.4049825624599642
2000,21720,20,-0.4049825624599633
2000,21740,20,-0.40498256245995484
2000,10210,31,-0.47862958523645466
2000,10261,31,-0.47862958523647003
2000,21720,31,-0.4786295852364628
2000,21740,31,-0.47862958523646015
2000,10210,32,-0.8269608769936189
2000,10261,32,-0.8269608769936211
2000,21720,32,-0.826960876993618
2000,21740,32,-0.8269608769936213
2000,10210,41,0.62747242840067
2000,10261,41,0.6274724284006656
2000,21720,41,0.6274724284006808
