OBJECTID,gridcode,Area_KM2,lon_centroid,lat_centroid,Shape_Length,Shape_Area,lon,lat
2050,28763494,13.719616000000000,-173878.206900000572205,2505379.775399999693036,0.283236521243969,0.003665098758299,-159.014057406936047,72.517332369696419
2051,68852528,13.719616000000000,-170174.206900000572205,2505379.775399999693036,0.283217560776075,0.003665618094978,-158.907640032810690,72.519895693062111
2052,503286,13.719616000000000,-166470.206900000572205,2505379.775399999693036,0.283198902709800,0.003666126490930,-158.801197403347999,72.522404175969243
2053,78754352,13.719616000000000,-162766.206900000572205,2505379.775399999693036,0.283180557869221,0.003666624024944,-158.694730058336205,72.524857795793963
2054,22548698,13.719616000000000,-159062.206900000572205,2505379.775399999693036,0.283162526405240,0.003667110469665,-158.588238534733762,72.527256530320102
2055,18878004,13.719616000000000,-155358.206900000572205,2505379.775399999693036,0.283144817440928,0.003667585977043,-158.481723372285643,72.529600357308183
2056,52610264,13.719616000000000,-151654.206900000572205,2505379.775399999693036,0.283127435912977,0.003668050458661,-158.375185113295544,72.531889255717218
2057,71144944,13.719616000000000,-147950.206900000572205,2505379.775399999693036,0.283110389628163,0.003668503849536,-158.268624296702285,72.534123204561084
2058,35978308,13.719616000000000,-144246.206900000572205,2505379.775399999693036,0.283093682138110,0.003668946226891,-158.162041464547201,72.536302183157730
2059,29717498,13.719616000000000,-140542.206900000572205,2505379.775399999693036,0.283077322453575,0.003669377609198,-158.055437160341540,72.538426172199109
2060,94421728,13.719616000000000,-136838.206900000572205,2505379.775399999693036,0.283061314118781,0.003669797903095,-157.948811926035120,72.540495151886532
2061,6329228,13.719616000000000,-133134.206900000572205,2505379.775399999693036,0.283045662338385,0.003670207078950,-157.842166306202813,72.542509103573238
2062,41646592,13.719616000000000,-129430.206900000572205,2505379.775399999693036,0.283030371704574,0.003670605100673,-157.735500844275919,72.544468008691709
2063,77251256,13.719616000000000,-125726.206900000572205,2505379.775399999693036,0.283015451411130,0.003670992079671,-157.628816085789992,72.546371848989608
2064,35531344,13.719616000000000,-122022.206900000572205,2505379.775399999693036,0.283000904981287,0.003671367975301,-157.522112575490155,72.548220607512064
2065,75481816,6.002206249203190,-119353.262451000875444,2505477.091057841666043,0.163930786986490,0.001606471369254,-157.445359002685620,72.550425493665941
2066,75830944,5.148615004399702,-528326.313707197667100,2501489.472119426820427,0.152095608971985,0.001336270361419,-168.979004205263436,71.988457849771251
2067,80293392,13.719616000000000,-525758.206900000572205,2501675.775399999693036,0.284890628594593,0.003562478846407,-168.909785091547064,71.995420470601303
2068,35864952,13.719616000000000,-522054.206900000572205,2501675.775399999693036,0.284878565797028,0.003563927633535,-168.808203773546751,72.003009463799444
2069,56252008,13.719616000000000,-518350.206900000572205,2501675.775399999693036,0.284866079600068,0.003565367974251,-168.706551943663470,72.010547857972242
2070,26213508,13.719616000000000,-514646.206900000572205,2501675.775399999693036,0.284853175768816,0.003566799737358,-168.604830005295952,72.018035592093071
2071,12611064,13.719616000000000,-510942.206900000572205,2501675.775399999693036,0.284839866111271,0.003568223078882,-168.503038362985819,72.025472604732158
2072,90123696,13.719616000000000,-507238.206900000572205,2501675.775399999693036,0.284826155370214,0.003569637951401,-168.401177424740865,72.032858835537041
2073,67140600,13.719616000000000,-503534.206900000572205,2501675.775399999693036,0.284812046019670,0.003571044192297,-168.299247598854834,72.040194224624017
2074,48013732,13.719616000000000,-499830.206900000572205,2501675.775399999693036,0.284797548728499,0.003572441867072,-168.197249296436212,72.047478711848484
2075,99950376,13.719616000000000,-496126.206900000572205,2501675.775399999693036,0.284782666063679,0.003573830848802,-168.095182930178169,72.054712237619484
2076,46852948,13.719616000000000,-492422.206900000572205,2501675.775399999693036,0.284767407957246,0.003575211186093,-167.993048914442824,72.061894741837420
